nama_tempat,username,rating,review
Nasi Tempong Mbok Nah,Daphney,4,"Nasi tempongnya enak sekali dengan lauk tambahan yang melimpah, sampe bingung makannya gimana karena saking banyaknya. Aku juga pesan es temulawak dan nyobain untuk pertama kalinya dalam hidup, ternyata enak sekalii. Yang perlu diperbaiki dari rumah makan ini servicenya yang lumayan lama, kebetulan pas aku datang lagi refill lauk lagi jadi lumayan nunggu 10 menitan sebelum dilayani. Selain itu, di meja makannya lumayan banyak semut berkeliaran yang cukup membuat nafsu makan berkurang. Tapi untungnya ada sambal yang bikin nafsu makan meningkat lagi karena sambalnya pedas sekali."
Nasi Tempong Mbok Nah,Yohana Tarigan,5,"Porsinya banyak banget.
Nasi, tahu, tempe, bakwan jagung, ikan asin, sayur rebus (bayam, toge, kol), sambel tempong yang menurut saya kurang pedes, dan sepertinya sambelnya itu sambel matang.
Tambah lauk ; cumi, ayam goreng, telor dadar 2.
2 porsi, minum teh anget, total 52rb saja.
Layak untuk dicoba."
Nasi Tempong Mbok Nah,Ika Izatul,4,Uwww enak sambalnya pedasss bener bener nonjok. Selama di Banyuwangi kesana 2 kali. Pertama malam hari antrian ga banyak dan lancar. Kedua siang hari jam makan siang very crowded. Rekomen udang gorengnya.. mantapp
Nasi Tempong Mbok Nah,HiroShima's Mommy,5,"Lokasi strategis di tepi jalan raya utama, bersih dan pelayannya juga resik rajin membersihkan sisa yg selesai makan, lantai jg disapu. Ibu2 yg melayani saat pilih menu orgnya ramah dlm menjelaskan pilihan menunya dan wkt makan jg ditanya enak ga, harganya murah bgt sih.. kemarin saya makan 2 porsi, 1 pakai lauk cumi ireng dan 1nya pakai telur dadar, kerupuk 2, es jeruk, es teh manis, dgn porsi lengkap itu cuma 43rb. Minusnya justru menurut saya di sambel tempongnya yg kurang pedas. Overall ok, thanks semoga  laris manis terus ya!"
Nasi Tempong Mbok Nah,Ardian Nugroho,5,"Nyampai Banyuwangi langsung melipir ke sini buat nyobain makanan khasnya. Lauknya banyak sekali pilihannya. Ada ayam goreng, ati, dan masih banyak lagi.

Sambalnya agak pedas buat yang ga terbiasa makan sambal ya.

Tadi makan berdua habis 50 ribu."
Nasi Tempong Mbok Nah,Vivi Andrika,5,"Paketan nasi tempongnya lengkap sekali: Nasi, lauk, gorengan (tempe, tahu dan bakwan jagung) lalapan dan sambal. Pakai nasi separo aja udah kenyang banget. Lauk-lauknya gurih dan pedas dari sambalnya masih sangat bisa dinikmati (gak over pedes gitu rasanya).
Kalau ke Banyuwangi wajib mampir ke sini! Tapi kudu sabar ya karena di sini rame sekali"
Nasi Tempong Mbok Nah,Recta Olivia Umboro,4,"Suasana kaki lima yang dijamin bikin kangen dan pengen balik lagi. Harganya ramah di kantong dengan cita rasa banyuwangi yang gk kaleng2. Yang bikin beda tuh sambelnya.porsi nasi yg segambreng dengan lalapan bikin gk sadarkan diri buat nyuap lagi2 dan lagi smpe tau2 habis dipirinh..juara lah pokoknya.selalu rame, tapi pelayanannya cepat.jd gk perlu nunggu lama2."
Nasi Tempong Mbok Nah,wahyuning sulistioningsih,5,"Abis nyebrang dr pelabuhan gilimanuk mampir sini sebelum ke penginapan.  Lihat review di tiktok katanya enak. Langsung deh cobain di kota asalnya bwi, ternyata bener2 enak, sambal nya manis tp pedes nampol gitu. Makan berdua, lauk ayam, telur, hati dan udang. Esteh 2. Kerupuk 3. Cuma 55rb aja MURAH POLLLLLL"
Nasi Tempong Mbok Nah,Joker Flower,4,"Nasi tempongnya murah
Cuma sambelnya asin banget tapi juga pedes. Enggak tau kenapa sambelnya kayak gitu 😩
Sambelnya melimpah banget sih
Udangnya juga enak
Telur juga oke
Es teh jumbo dan murah

Tapi nasinya gak habis karena sambelnya asin banget tapi pedes

Nasi tempong isinya: Nasi, Sayur, ikan asin, tahu tempe, dan sambel

Nasi tempong: 8k/porsi
Udang goreng tepung: 13k/porsi
Telur: 3k/porsi
Es teh: 3k/porsi

Makan sesuai foto hanya keluar 51k, murah sih segitu banyaknya

Enak tapi sedikit kecewa sambelnya
Mungkin kalo balik BWI gak bakal kesini lagi

*Pernah iseng makan sambelan tempong random di pinggir jalan Banyuwangi sambelnya enggak asin kok dan enak sebenarnya*"
Nasi Tempong Mbok Nah,alviona putri,5,Wajib banget mampir kesini nyobain tempong murce tapi rasanya enak poll! Bakal ngerekomendasiin temen temenku buat datang kesini sih kalo pas main ke Banyuwangi
